Port Christina
T1, New Jason, South Kristi, 30.38
T2, New Jason, North Donland, 39.9
E3, North Donland, South Hannahfurt, 53.55
M4, North Donland, East Lindsey, 36.17
H5, Port Michelle, East Jesse, 33.78
H6, South Kristi, South Johnstad, 21.23
H7, East Jesse, New Jason, 87.31
T8, East Jesse, South Johnstad, 76.19
E9, East Lindsey, South Hannahfurt, 83.98
H10, South Hannahfurt, South Johnstad, 60.57
T11, South Hannahfurt, East Lindsey, 34.99
H12, South Kristi, Alexanderchester, 24.74
H13, South Hannahfurt, Port Michelle, 96.73
E14, South Kristi, Alexanderchester, 78.48
T15, East Lindsey, New Jason, 61.96
E16, South Hannahfurt, Port Michelle, 88.28
T17, Port Michelle, South Johnstad, 39.33
M18, Williamsville, Melaniehaven, 81.99
T19, New Jeffreyburgh, Ricehaven, 67.49
M20, Williamsville, Port Christina, 98.76
E21, Williamsville, Ricehaven, 89.07
T22, Ricehaven, Port Christina, 8.0
H23, Melaniehaven, Travisburgh, 29.07
M24, New Jeffreyburgh, Port Christina, 17.02
E25, Port Christina, South Alexander, 74.61
M26, Williamsville, Port Christina, 82.36
H27, Port Christina, Ricehaven, 88.39
M28, Port Christina, Travisburgh, 2.43
H29, Melaniehaven, Travisburgh, 12.37
H30, Williamsville, South Alexander, 68.88
T31, Port Christina, Melaniehaven, 39.95
E32, North Ashleyview, Travisburgh, 77.08
T33, Mortonfort, Gloriafurt, 75.92
T34, Mortonfort, Gloriafurt, 45.78
T35, Bestfort, East Andrea, 76.55
H36, Mortonfort, Donaldbury, 2.23
T37, East Andrea, Blackchester, 35.9
E38, Mortonfort, Gloriafurt, 63.08
T39, East Andrea, Blackchester, 48.06
H40, New Jason, Donaldbury, 50.31
T41, Donaldbury, Alexanderchester, 22.16
T42, Williamsville, New Jason, 35.08
M43, Port Michelle, North Ashleyview, 99.13
E44, Alexanderchester, South Alexander, 84.89
T45, North Donland, Blackchester, 75.71
M46, North Donland, Mortonfort, 93.57
E47, Travisburgh, Mortonfort, 10.22
