Deannamouth
E1, Port Jonathan, North Sydneyview, 57.23
T2, Omarfurt, Port Jonathan, 33.11
T3, New Shannon, Deannamouth, 72.88
T4, Lawrenceland, Meadowsberg, 50.87
T5, Meadowsberg, Lawrenceland, 24.7
E6, Deannamouth, New Shannon, 65.84
E7, New Shannon, Omarfurt, 67.04
M8, New Shannon, North Sydneyview, 63.08
M9, Meadowsberg, Omarfurt, 29.68
H10, North Sydneyview, Lawrenceland, 45.45
M11, Lawrenceland, Port Jonathan, 92.41
T12, Omarfurt, Lawrenceland, 39.99
T13, North Sydneyview, New Shannon, 96.19
M14, Omarfurt, New Shannon, 42.67
